Mouse 	Cage 	Day	Gender	Co_Housed	Genotype	Treatment_Grp	Treatment_1	Treatment_2	Colonization_stat630	CFU_g	Experiment 
925_2	925	41	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_2	925	42	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	13	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	19	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	34	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	41	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_3	925	42	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	13	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	19	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	34	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	41	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
925_4	925	42	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	13	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	19	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	34	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	41	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_1	938	42	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	1	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	4	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	7	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	10	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	13	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	16	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	19	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	22	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	34	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	41	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
938_2	938	42	male	no	WT	Naive_VPI	mock	VPI	unchallenged	100	2014_pilot
005_1	5	1	male	no	RAG	630_VPI 	630	VPI	colonized	1300000	2014_pilot
005_1	5	4	male	no	RAG	630_VPI 	630	VPI	colonized	23000000	2014_pilot
005_1	5	7	male	no	RAG	630_VPI 	630	VPI	colonized	89000000	2014_pilot
005_1	5	10	male	no	RAG	630_VPI 	630	VPI	colonized	69000000	2014_pilot
005_1	5	13	male	no	RAG	630_VPI 	630	VPI	colonized	116000000	2014_pilot
005_1	5	16	male	no	RAG	630_VPI 	630	VPI	colonized	56000000	2014_pilot
005_1	5	19	male	no	RAG	630_VPI 	630	VPI	colonized	54000000	2014_pilot
